Numéro de B.L.;Code barre (PCI);Code remettant;Donnée textuel 1;Poids;Code transporteur;Code produit;URL de tracking transporteur à UM;id UM
1880;6A26372726027;SKINHAPTIC;SKINHAPTICSB2B;1,39;POSTE;DOMSS;https://www.laposte.fr/outils/suivre-vos-envois?code=6A26372726027;7296340,00
1881;6A26371938452;SKINHAPTIC;SKINHAPTICSB2B;1,39;POSTE;DOMSS;https://www.laposte.fr/outils/suivre-vos-envois?code=6A26371938452;7296424,00
CLUB COULEUR;250045130016654454;COLLO;COLLOSOLB2B;24,98;DPD;B2B;https://www.dpd.fr/traces_250045130016654454;7299082,00
Concours 1;6A26371138043;SKINHAPTIC;SKINHAPTICSB2B;0,54;POSTE;DOMSS;https://www.laposte.fr/outils/suivre-vos-envois?code=6A26371138043;7296247,00
Concours 2;6A26371139897;SKINHAPTIC;SKINHAPTICSB2B;0,35;POSTE;DOMSS;https://www.laposte.fr/outils/suivre-vos-envois?code=6A26371139897;7296376,00
DIRECTCR16052023;250045130016577821;DBY;DBYB2B;1,65;DPD;B2B;https://www.dpd.fr/traces_250045130016577821;7296676,00
DIRECTE16052023;250045130016581705;DBY;DBYB2B;7,85;DPD;B2B;https://www.dpd.fr/traces_250045130016581705;7297771,00
DIRECTOK23052023;250045130016572000;DBY;DBYB2B;7,70;DPD;B2B;https://www.dpd.fr/traces_250045130016572000;7296297,00
DIRECTY22052023;250045130016575889;DBY;DBYB2B;2,00;DPD;B2B;https://www.dpd.fr/traces_250045130016575889;7296476,00
